country,league,league_code,api_football_league_id,season,app_season,priority_group,enabled,cache_exists,cache_path,fixtures_in_cache,completed_fixtures,fixtures_with_statistics,statistics_coverage,first_fixture_date,last_fixture_date,active,starts_late_july_early_august,days_from_today,xg_fixtures,xg_coverage,saves_fixtures,saves_coverage,possession_fixtures,possession_coverage,passes_fixtures,passes_coverage,accurate_passes_fixtures,accurate_passes_coverage,priority_rank,priority_reason
England,Premier League,E0,39,2025,2025-2026,england,True,True,data/api_football/fixture_stats/england/premier-league/2025/fixture_stats.json,85,85,84,0.9882,2025-08-15,2025-10-25,True,False,-329,84,1.0,84,1.0,84,1.0,84,1.0,84,1.0,2,active league with incomplete fixture-statistics cache
Greece,Super League,G1,197,2025,2025-2026,southern_europe,True,True,data/api_football/fixture_stats/greece/super-league/2025/fixture_stats.json,85,85,84,0.9882,2025-08-23,2025-12-06,True,False,-321,0,0.0,82,0.9762,84,1.0,84,1.0,84,1.0,2,active league with incomplete fixture-statistics cache
Belgium,Jupiler Pro League,B1,144,2025,2025-2026,western_europe,True,False,data/api_football/fixture_stats/belgium/jupiler-pro-league/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
China,Super League,CHN,169,2026,2026,asia,True,False,data/api_football/fixture_stats/china/super-league/2026/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
England,Championship,E1,40,2025,2025-2026,england,True,False,data/api_football/fixture_stats/england/championship/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
England,League One,E2,41,2025,2025-2026,england,True,False,data/api_football/fixture_stats/england/league-one/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
England,League Two,E3,42,2025,2025-2026,england,True,False,data/api_football/fixture_stats/england/league-two/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
England,National League,EC,43,2025,2025-2026,england,True,False,data/api_football/fixture_stats/england/national-league/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
France,Ligue 1,F1,61,2025,2025-2026,top_europe,True,False,data/api_football/fixture_stats/france/ligue-1/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
France,Ligue 2,F2,62,2025,2025-2026,top_europe,True,False,data/api_football/fixture_stats/france/ligue-2/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Germany,Bundesliga,D1,78,2025,2025-2026,top_europe,True,False,data/api_football/fixture_stats/germany/bundesliga/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Germany,Bundesliga 2,D2,79,2025,2025-2026,top_europe,True,False,data/api_football/fixture_stats/germany/bundesliga-2/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Italy,Serie A,I1,135,2025,2025-2026,top_europe,True,False,data/api_football/fixture_stats/italy/serie-a/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Italy,Serie B,I2,136,2025,2025-2026,top_europe,True,False,data/api_football/fixture_stats/italy/serie-b/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Mexico,Liga MX,MEX,262,2025,2025-2026,americas,True,False,data/api_football/fixture_stats/mexico/liga-mx/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Netherlands,Eredivisie,N1,88,2025,2025-2026,western_europe,True,False,data/api_football/fixture_stats/netherlands/eredivisie/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Portugal,Liga Portugal,P1,94,2025,2025-2026,western_europe,True,False,data/api_football/fixture_stats/portugal/liga-portugal/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
Russia,Premier League,RUS,235,2025,2025-2026,eastern_europe,True,False,data/api_football/fixture_stats/russia/premier-league/2025/fixture_stats.json,0,0,0,0.0,,,False,False,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,no cache exists
