country,league,season,league_id,fixtures,fixtures_with_raw_statistics,raw_stat_type_count,available_normalized_fields,cache_path
Argentina,Liga Profesional Argentina,2026,128,255,253,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HR, AR, HxG, AxG",data/api_football/fixture_stats/argentina/liga-profesional-argentina/2026/fixture_stats.json
Austria,2. Liga,2025,219,222,1,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate",data/api_football/fixture_stats/austria/2-liga/2025/fixture_stats.json
Austria,Bundesliga,2025,218,195,195,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/austria/bundesliga/2025/fixture_stats.json
Brazil,Serie A,2026,71,177,177,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/brazil/serie-a/2026/fixture_stats.json
Brazil,Serie B,2026,72,141,138,19,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/brazil/serie-b/2026/fixture_stats.json
Denmark,Superliga,2025,119,193,193,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/denmark/superliga/2025/fixture_stats.json
England,Premier League,2025,39,85,84,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/england/premier-league/2025/fixture_stats.json
Finland,Veikkausliiga,2026,244,76,34,19,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HR, AR, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG",data/api_football/fixture_stats/finland/veikkausliiga/2026/fixture_stats.json
Ireland,Premier Division,2026,357,108,101,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/ireland/premier-division/2026/fixture_stats.json
Japan,J1 League,2026,98,200,200,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/japan/j1-league/2026/fixture_stats.json
Norway,Eliteserien,2024,103,9,9,17,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/norway/eliteserien/2024/fixture_stats.json
Norway,Eliteserien,2026,103,89,89,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/norway/eliteserien/2026/fixture_stats.json
Poland,Ekstraklasa,2025,106,306,306,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/poland/ekstraklasa/2025/fixture_stats.json
Romania,Liga I,2025,283,321,320,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/romania/liga-i/2025/fixture_stats.json
Sweden,Allsvenskan,2026,113,81,81,18,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG, HR, AR",data/api_football/fixture_stats/sweden/allsvenskan/2026/fixture_stats.json
Sweden,Superettan,2026,114,105,61,19,"HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HR, AR, HPossession, APossession, HSaves, ASaves, HPasses, APasses, HPassesAccurate, APassesAccurate, HxG, AxG",data/api_football/fixture_stats/sweden/superettan/2026/fixture_stats.json
