country,league,league_code,api_football_league_id,season,priority_group,cache_exists,fixtures_in_cache,fixtures_with_statistics,teams,min_stats_matches_per_team,median_stats_matches_per_team,max_stats_matches_per_team,last_2,last_3,last_5,teams_ready_last_2,teams_ready_last_3,teams_ready_last_5,status,cache_path
Bulgaria,First League,BGR,172,2025,eastern_europe,True,293,7,12,1,1.0,2,False,False,False,2,0,0,partial,data/api_football/fixture_stats/bulgaria/first-league/2025/fixture_stats.json
Czech Republic,Czech Liga,CZE,345,2025,central_europe,True,279,7,10,1,1.0,2,False,False,False,4,0,0,partial,data/api_football/fixture_stats/czech-republic/czech-liga/2025/fixture_stats.json
Estonia,Meistriliiga,EST,329,2026,baltics,True,95,7,9,1,2.0,2,False,False,False,5,0,0,partial,data/api_football/fixture_stats/estonia/meistriliiga/2026/fixture_stats.json
Hungary,NB I,HUN,271,2025,central_europe,True,198,7,12,1,1.0,2,False,False,False,2,0,0,partial,data/api_football/fixture_stats/hungary/nb-i/2025/fixture_stats.json
Latvia,Virsliga,LVA,365,2026,baltics,True,110,7,10,1,1.0,2,False,False,False,4,0,0,partial,data/api_football/fixture_stats/latvia/virsliga/2026/fixture_stats.json
Lithuania,A Lyga,LTU,362,2026,baltics,True,102,7,9,1,1.0,3,False,False,False,4,1,0,partial,data/api_football/fixture_stats/lithuania/a-lyga/2026/fixture_stats.json
Norway,OBOS-ligaen,NOR2,104,2026,scandinavia,True,112,7,14,1,1.0,1,False,False,False,0,0,0,partial,data/api_football/fixture_stats/norway/obos-ligaen/2026/fixture_stats.json
Serbia,Super Liga,SRB,286,2025,eastern_europe,True,296,7,14,1,1.0,1,False,False,False,0,0,0,partial,data/api_football/fixture_stats/serbia/super-liga/2025/fixture_stats.json
Slovakia,Super Liga,SVK,332,2025,central_europe,True,192,7,12,1,1.0,2,False,False,False,2,0,0,partial,data/api_football/fixture_stats/slovakia/super-liga/2025/fixture_stats.json
Slovenia,1. SNL,SVN,373,2025,central_europe,True,163,7,9,1,1.0,3,False,False,False,4,1,0,partial,data/api_football/fixture_stats/slovenia/1-snl/2025/fixture_stats.json
Romania,Liga I,ROM,283,2025,central_europe,True,321,321,18,2,40.0,41,True,False,False,18,16,16,ready_last_2,data/api_football/fixture_stats/romania/liga-i/2025/fixture_stats.json
Belgium,Jupiler Pro League,B1,144,2025,western_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/belgium/jupiler-pro-league/2025/fixture_stats.json
England,League One,E2,41,2025,england,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/england/league-one/2025/fixture_stats.json
England,League Two,E3,42,2025,england,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/england/league-two/2025/fixture_stats.json
England,National League,EC,43,2025,england,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/england/national-league/2025/fixture_stats.json
Finland,Ykkösliiga,FIN2,245,2026,scandinavia,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/finland/ykkösliiga/2026/fixture_stats.json
France,Ligue 1,F1,61,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/france/ligue-1/2025/fixture_stats.json
France,Ligue 2,F2,62,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/france/ligue-2/2025/fixture_stats.json
Germany,Bundesliga,D1,78,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/germany/bundesliga/2025/fixture_stats.json
Germany,Bundesliga 2,D2,79,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/germany/bundesliga-2/2025/fixture_stats.json
Iceland,Úrvalsdeild,ISL,164,2026,scandinavia,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/iceland/úrvalsdeild/2026/fixture_stats.json
Italy,Serie A,I1,135,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/italy/serie-a/2025/fixture_stats.json
Italy,Serie B,I2,136,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/italy/serie-b/2025/fixture_stats.json
Netherlands,Eredivisie,N1,88,2025,western_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/netherlands/eredivisie/2025/fixture_stats.json
Portugal,Liga Portugal,P1,94,2025,western_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/portugal/liga-portugal/2025/fixture_stats.json
Scotland,Championship,SC1,180,2025,scotland,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/scotland/championship/2025/fixture_stats.json
Scotland,League One,SC2,181,2025,scotland,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/scotland/league-one/2025/fixture_stats.json
Scotland,League Two,SC3,182,2025,scotland,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/scotland/league-two/2025/fixture_stats.json
Spain,La Liga,SP1,140,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/spain/la-liga/2025/fixture_stats.json
Spain,Segunda División,SP2,141,2025,top_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/spain/segunda-división/2025/fixture_stats.json
Turkey,Süper Lig,T1,203,2025,southern_europe,False,0,0,0,0,0.0,0,False,False,False,0,0,0,no_stats_cache,data/api_football/fixture_stats/turkey/süper-lig/2025/fixture_stats.json
Argentina,Liga Profesional Argentina,ARG,128,2026,americas,True,255,255,30,16,17.0,20,True,True,True,30,30,30,ready_last_5,data/api_football/fixture_stats/argentina/liga-profesional-argentina/2026/fixture_stats.json
Austria,2. Liga,AUT2,219,2025,central_europe,True,222,222,16,12,29.0,29,True,True,True,16,16,16,ready_last_5,data/api_football/fixture_stats/austria/2-liga/2025/fixture_stats.json
Austria,Bundesliga,AUT,218,2025,central_europe,True,195,195,12,32,32.0,35,True,True,True,12,12,12,ready_last_5,data/api_football/fixture_stats/austria/bundesliga/2025/fixture_stats.json
Brazil,Serie A,BRA,71,2026,americas,True,177,177,20,17,18.0,18,True,True,True,20,20,20,ready_last_5,data/api_football/fixture_stats/brazil/serie-a/2026/fixture_stats.json
Brazil,Serie B,BRA2,72,2026,americas,True,161,161,20,16,16.0,17,True,True,True,20,20,20,ready_last_5,data/api_football/fixture_stats/brazil/serie-b/2026/fixture_stats.json
China,Super League,CHN,169,2026,asia,True,69,69,16,8,9.0,9,True,True,True,16,16,16,ready_last_5,data/api_football/fixture_stats/china/super-league/2026/fixture_stats.json
Denmark,Superliga,DNK,119,2025,scandinavia,True,193,193,12,32,32.0,33,True,True,True,12,12,12,ready_last_5,data/api_football/fixture_stats/denmark/superliga/2025/fixture_stats.json
England,Championship,E1,40,2025,england,True,169,168,24,13,14.0,15,True,True,True,24,24,24,ready_last_5,data/api_football/fixture_stats/england/championship/2025/fixture_stats.json
England,Premier League,E0,39,2025,england,True,85,84,20,8,8.0,9,True,True,True,20,20,20,ready_last_5,data/api_football/fixture_stats/england/premier-league/2025/fixture_stats.json
Finland,Veikkausliiga,FIN,244,2026,scandinavia,True,76,76,12,12,12.5,14,True,True,True,12,12,12,ready_last_5,data/api_football/fixture_stats/finland/veikkausliiga/2026/fixture_stats.json
Greece,Super League,G1,197,2025,southern_europe,True,85,84,14,11,12.0,13,True,True,True,14,14,14,ready_last_5,data/api_football/fixture_stats/greece/super-league/2025/fixture_stats.json
Ireland,Premier Division,IRL,357,2026,western_europe,True,121,121,10,23,24.0,25,True,True,True,10,10,10,ready_last_5,data/api_football/fixture_stats/ireland/premier-division/2026/fixture_stats.json
Japan,J1 League,JPN,98,2026,asia,True,200,200,20,20,20.0,20,True,True,True,20,20,20,ready_last_5,data/api_football/fixture_stats/japan/j1-league/2026/fixture_stats.json
Mexico,Liga MX,MEX,262,2025,americas,True,56,56,18,5,6.0,7,True,True,True,18,18,18,ready_last_5,data/api_football/fixture_stats/mexico/liga-mx/2025/fixture_stats.json
Norway,Eliteserien,NOR,103,2026,scandinavia,True,89,89,16,10,11.0,13,True,True,True,16,16,16,ready_last_5,data/api_football/fixture_stats/norway/eliteserien/2026/fixture_stats.json
Poland,Ekstraklasa,POL,106,2025,central_europe,True,306,306,18,34,34.0,34,True,True,True,18,18,18,ready_last_5,data/api_football/fixture_stats/poland/ekstraklasa/2025/fixture_stats.json
Russia,Premier League,RUS,235,2025,eastern_europe,True,69,69,16,8,9.0,9,True,True,True,16,16,16,ready_last_5,data/api_football/fixture_stats/russia/premier-league/2025/fixture_stats.json
Scotland,Premiership,SC0,179,2025,scotland,True,72,72,12,11,12.0,13,True,True,True,12,12,12,ready_last_5,data/api_football/fixture_stats/scotland/premiership/2025/fixture_stats.json
Sweden,Allsvenskan,SWE,113,2026,scandinavia,True,81,81,16,9,10.0,11,True,True,True,16,16,16,ready_last_5,data/api_football/fixture_stats/sweden/allsvenskan/2026/fixture_stats.json
Sweden,Superettan,SWE2,114,2026,scandinavia,True,105,105,16,13,13.0,14,True,True,True,16,16,16,ready_last_5,data/api_football/fixture_stats/sweden/superettan/2026/fixture_stats.json
Switzerland,Super League,SWZ,207,2025,central_europe,True,72,72,12,11,12.0,13,True,True,True,12,12,12,ready_last_5,data/api_football/fixture_stats/switzerland/super-league/2025/fixture_stats.json
USA,Major League Soccer,USA,253,2026,americas,True,211,211,30,12,14.0,15,True,True,True,30,30,30,ready_last_5,data/api_football/fixture_stats/usa/major-league-soccer/2026/fixture_stats.json
