country,league,season,api_football_league_id,output_path,cache_path,completed_fixtures,fixtures_with_any_stats,fixtures_with_bb_core_stats,any_stats_coverage,bb_core_coverage,bb_ready_candidate,notes
Argentina,Liga Profesional Argentina,2026,128,data/statmaker/domestic_enriched/argentina_liga_profesional_argentina_2026.json,data/api_football/fixture_stats/argentina/liga-profesional-argentina/2026/fixture_stats.json,255,253,252,0.9922,0.9882,True,ok
Austria,2. Liga,2025,219,data/statmaker/domestic_enriched/austria_2_liga_2025.json,data/api_football/fixture_stats/austria/2-liga/2025/fixture_stats.json,222,1,1,0.0045,0.0045,False,low any-stats coverage: 0.0045 < 0.65; low BB-core coverage: 0.0045 < 0.65; required BB groups below threshold; no shot group reaches threshold
Austria,Bundesliga,2025,218,data/statmaker/domestic_enriched/austria_bundesliga_2025.json,data/api_football/fixture_stats/austria/bundesliga/2025/fixture_stats.json,195,195,187,1.0,0.959,True,ok
Brazil,Serie A,2026,71,data/statmaker/domestic_enriched/brazil_serie_a_2026.json,data/api_football/fixture_stats/brazil/serie-a/2026/fixture_stats.json,177,177,174,1.0,0.9831,True,ok
Brazil,Serie B,2026,72,data/statmaker/domestic_enriched/brazil_serie_b_2026.json,data/api_football/fixture_stats/brazil/serie-b/2026/fixture_stats.json,141,138,134,0.9787,0.9504,True,ok
Denmark,Superliga,2025,119,data/statmaker/domestic_enriched/denmark_superliga_2025.json,data/api_football/fixture_stats/denmark/superliga/2025/fixture_stats.json,193,193,186,1.0,0.9637,True,ok
Finland,Veikkausliiga,2026,244,data/statmaker/domestic_enriched/finland_veikkausliiga_2026.json,data/api_football/fixture_stats/finland/veikkausliiga/2026/fixture_stats.json,76,34,34,0.4474,0.4474,False,low any-stats coverage: 0.4474 < 0.65; low BB-core coverage: 0.4474 < 0.65; required BB groups below threshold; no shot group reaches threshold
Ireland,Premier Division,2026,357,data/statmaker/domestic_enriched/ireland_premier_division_2026.json,data/api_football/fixture_stats/ireland/premier-division/2026/fixture_stats.json,108,101,100,0.9352,0.9259,True,ok
Japan,J1 League,2026,98,data/statmaker/domestic_enriched/japan_j1_league_2026.json,data/api_football/fixture_stats/japan/j1-league/2026/fixture_stats.json,200,200,182,1.0,0.91,True,ok
Norway,Eliteserien,2026,103,data/statmaker/domestic_enriched/norway_eliteserien_2026.json,data/api_football/fixture_stats/norway/eliteserien/2026/fixture_stats.json,89,89,86,1.0,0.9663,True,ok
Poland,Ekstraklasa,2025,106,data/statmaker/domestic_enriched/poland_ekstraklasa_2025.json,data/api_football/fixture_stats/poland/ekstraklasa/2025/fixture_stats.json,306,306,296,1.0,0.9673,True,ok
Romania,Liga I,2025,283,data/statmaker/domestic_enriched/romania_liga_i_2025.json,data/api_football/fixture_stats/romania/liga-i/2025/fixture_stats.json,321,320,313,0.9969,0.9751,True,ok
Sweden,Allsvenskan,2026,113,data/statmaker/domestic_enriched/sweden_allsvenskan_2026.json,data/api_football/fixture_stats/sweden/allsvenskan/2026/fixture_stats.json,81,81,81,1.0,1.0,True,ok
Sweden,Superettan,2026,114,data/statmaker/domestic_enriched/sweden_superettan_2026.json,data/api_football/fixture_stats/sweden/superettan/2026/fixture_stats.json,105,61,59,0.581,0.5619,False,low any-stats coverage: 0.581 < 0.65; low BB-core coverage: 0.5619 < 0.65; required BB groups below threshold; no shot group reaches threshold
